Major,Cut-off
106,28.0
107,27.35
108,25.65
109,24.5
110,26.75
112,22.0
114,26.3
115,22.4
117,25.25
120,22.0
123,25.25
125,24.0
128,26.8
129,22.6
137,25.3
138,24.3
140,23.0
141,22.0
142,26.5
145,25.0
206,28.0
207,27.35
208,24.75
209,24.5
210,26.6
211,26.0
214,25.4
215,22.3
219,25.7
220,22.0
223,24.5
225,22.5
228,26.25
237,24.5
242,26.0
245,25.5
266,26.75
